"Class Nbr","Subject","Catalog","Section","Description","Capacity","Total Enrolled","Available Seats","Total Waitlisted","In Shopping Cart","Unmet Demand","Class Start Time","Class End Time","Meeting Days","Facility ID","Instructor","Start Date","End Date"
2763,"CM",104,64,"Chem Equilibrium & Dynam",34,29,5,0,0,0,"11:00AM","11:50AM","T","SC354",,"01/10/2019","04/26/2019"
2764,"CM",104,65,"Chem Equilibrium & Dynam",34,29,5,0,0,0,"12:00PM","12:50PM","T","SC354",,"01/10/2019","04/26/2019"
2762,"CM",104,63,"Chem Equilibrium & Dynam",34,33,1,0,0,0,"10:00AM","10:50AM","T","SC354",,"01/10/2019","04/26/2019"
2766,"CM",104,67,"Chem Equilibrium & Dynam",34,17,17,0,0,0,"2:00PM","2:50PM","T","SC354",,"01/10/2019","04/26/2019"
2765,"CM",104,66,"Chem Equilibrium & Dynam",34,30,4,0,0,0,"1:00PM","1:50PM","T","SC354",,"01/10/2019","04/26/2019"
2759,"CM",104,58,"Chem Equilibrium & Dynam",34,21,13,0,0,0,"3:00PM","3:50PM","M","SC354",,"01/10/2019","04/26/2019"
2758,"CM",104,57,"Chem Equilibrium & Dynam",34,25,9,0,0,0,"2:00PM","2:50PM","M","SC354",,"01/10/2019","04/26/2019"
2761,"CM",104,62,"Chem Equilibrium & Dynam",34,31,3,0,0,0,"9:00AM","9:50AM","T","SC354",,"01/10/2019","04/26/2019"
2760,"CM",104,59,"Chem Equilibrium & Dynam",0,0,0,0,0,0,,,,,"James Peploski","01/10/2019","04/26/2019"
2787,"CM",132,46,"General Chemistry II",36,28,8,0,0,0,"3:00PM","4:50PM","R","SC136",,"01/10/2019","04/26/2019"
4042,"CM",132,47,"General Chemistry II",38,21,17,0,0,0,"8:00AM","9:50AM","F","SC136","James Peploski","01/10/2019","04/26/2019"
2786,"CM",132,45,"General Chemistry II",36,34,2,0,1,0,"1:00PM","2:50PM","R","SC136",,"01/10/2019","04/26/2019"
2788,"CM",132,52,"General Chemistry II",34,28,6,0,0,0,"9:00AM","9:50AM","M","SC354",,"01/10/2019","04/26/2019"
4043,"CM",132,51,"General Chemistry II",30,25,5,0,0,0,"8:00AM","8:50AM","M","SC354","James Peploski","01/10/2019","04/26/2019"
2783,"CM",132,42,"General Chemistry II",36,30,6,0,0,0,"3:00PM","4:50PM","W","SC136",,"01/10/2019","04/26/2019"
2782,"CM",132,41,"General Chemistry II",36,23,13,0,0,0,"1:00PM","2:50PM","W","SC136",,"01/10/2019","04/26/2019"
2785,"CM",132,44,"General Chemistry II",36,28,8,0,0,0,"10:00AM","11:50AM","R","SC136",,"01/10/2019","04/26/2019"
2784,"CM",132,43,"General Chemistry II",36,33,3,0,1,0,"8:00AM","9:50AM","R","SC136",,"01/10/2019","04/26/2019"
2794,"CM",132,58,"General Chemistry II",34,21,13,0,0,0,"3:00PM","3:50PM","M","SC354",,"01/10/2019","04/26/2019"
4044,"CM",132,59,"General Chemistry II",30,21,9,0,0,0,"4:00PM","4:50PM","M","SC354","James Peploski","01/10/2019","04/26/2019"
2793,"CM",132,57,"General Chemistry II",34,25,9,0,0,0,"2:00PM","2:50PM","M","SC354",,"01/10/2019","04/26/2019"
2795,"CM",132,62,"General Chemistry II",34,31,3,0,0,0,"9:00AM","9:50AM","T","SC354",,"01/10/2019","04/26/2019"
4045,"CM",132,61,"General Chemistry II",30,16,14,0,0,0,"8:00AM","8:50AM","T","SC354","James Peploski","01/10/2019","04/26/2019"
2790,"CM",132,54,"General Chemistry II",34,33,1,0,0,0,"11:00AM","11:50AM","M","SC354",,"01/10/2019","04/26/2019"
2789,"CM",132,53,"General Chemistry II",34,34,0,0,0,0,"10:00AM","10:50AM","M","SC354",,"01/10/2019","04/26/2019"
2792,"CM",132,56,"General Chemistry II",34,32,2,0,0,0,"1:00PM","1:50PM","M","SC354",,"01/10/2019","04/26/2019"
2791,"CM",132,55,"General Chemistry II",34,33,1,0,0,0,"12:00PM","12:50PM","M","SC354",,"01/10/2019","04/26/2019"
2773,"CM",132,22,"General Chemistry II",36,30,6,0,2,0,"3:00PM","4:50PM","W","SC136",,"01/10/2019","04/26/2019"
2774,"CM",132,23,"General Chemistry II",36,33,3,0,2,0,"8:00AM","9:50AM","R","SC136",,"01/10/2019","04/26/2019"
2772,"CM",132,21,"General Chemistry II",36,23,13,0,6,0,"1:00PM","2:50PM","W","SC136",,"01/10/2019","04/26/2019"
2776,"CM",132,25,"General Chemistry II",36,34,2,0,1,0,"1:00PM","2:50PM","R","SC136",,"01/10/2019","04/26/2019"
2775,"CM",132,24,"General Chemistry II",36,28,8,0,1,0,"10:00AM","11:50AM","R","SC136",,"01/10/2019","04/26/2019"
2769,"CM",132,17,"General Chemistry II",36,34,2,0,1,0,"1:00PM","2:50PM","T","SC136",,"01/10/2019","04/26/2019"
2768,"CM",132,16,"General Chemistry II",36,36,0,0,2,2,"10:00AM","11:50AM","T","SC136",,"01/10/2019","04/26/2019"
2771,"CM",132,20,"General Chemistry II",36,35,1,0,2,1,"10:00AM","11:50AM","W","SC136",,"01/10/2019","04/26/2019"
2770,"CM",132,18,"General Chemistry II",36,31,5,0,2,0,"3:00PM","4:50PM","T","SC136",,"01/10/2019","04/26/2019"
2778,"CM",132,36,"General Chemistry II",36,36,0,0,0,0,"10:00AM","11:50AM","T","SC136",,"01/10/2019","04/26/2019"
2779,"CM",132,37,"General Chemistry II",36,34,2,0,1,0,"1:00PM","2:50PM","T","SC136",,"01/10/2019","04/26/2019"
4040,"CM",132,35,"General Chemistry II",36,34,2,0,1,0,"8:00AM","9:50AM","T","SC136","James Peploski","01/10/2019","04/26/2019"
2781,"CM",132,40,"General Chemistry II",36,35,1,0,0,0,"10:00AM","11:50AM","W","SC136",,"01/10/2019","04/26/2019"
2780,"CM",132,38,"General Chemistry II",36,31,5,0,1,0,"3:00PM","4:50PM","T","SC136",,"01/10/2019","04/26/2019"
4041,"CM",132,27,"General Chemistry II",38,21,17,0,1,0,"8:00AM","9:50AM","F","SC136","James Peploski","01/10/2019","04/26/2019"
2777,"CM",132,26,"General Chemistry II",36,28,8,0,2,0,"3:00PM","4:50PM","R","SC136",,"01/10/2019","04/26/2019"
2865,"CM",132,34,"General Chemistry II",36,29,7,0,0,0,"3:00PM","4:50PM","M","SC136",,"01/10/2019","04/26/2019"
2948,"CM",132,32,"General Chemistry II",36,30,6,0,1,0,"10:00AM","11:50AM","M","SC136",,"01/10/2019","04/26/2019"
4020,"COMM",423,55,"COMM: Independent Study",30,0,30,0,0,0,,,,,"Eric James York","01/10/2019","04/26/2019"
4019,"COMM",423,50,"COMM: Independent Study",30,0,30,0,0,0,,,,,"Steven Mygind Pedersen","01/10/2019","04/26/2019"
2437,"COMM",427,1,"Digital Video Production II",9,11,-2,0,2,4,"10:00AM","12:30PM","F","SNB10I","Zachary Miller","01/10/2019","04/26/2019"
4021,"COMM",423,81,"COMM: Independent Study",30,0,30,0,0,0,,,,,"Alex M Lee","01/10/2019","04/26/2019"
4017,"COMM",423,27,"COMM: Independent Study",30,0,30,0,0,0,,,,,,"01/10/2019","04/26/2019"
4022,"COMM",423,103,"COMM: Independent Study",30,0,30,0,0,0,,,,,"Jason Matthew Schmitt","01/10/2019","04/26/2019"
4018,"COMM",423,38,"COMM: Independent Study",30,0,30,0,0,0,,,,,"Brian Russell Hauser","01/10/2019","04/26/2019"
2809,"COMM",480,50,"Undergraduate TA",0,0,0,0,0,0,,,,,"Steven Mygind Pedersen","01/10/2019","04/26/2019"
4313,"COMM",480,26,"Undergraduate TA",30,1,29,0,0,0,,,,,"Johndan Johnson-Eilola","01/10/2019","04/26/2019"
2439,"COMM",490,26,"Senior Comm Internship",1,4,-3,0,1,4,,,,,"Johndan Johnson-Eilola","01/10/2019","04/26/2019"
3323,"COMM",480,55,"Undergraduate TA",30,0,30,0,0,0,,,,,"Eric James York","01/10/2019","04/26/2019"
3227,"COMM",470,26,"Communication Internship",1,1,0,0,1,1,,,,,"Johndan Johnson-Eilola","01/10/2019","04/26/2019"
3891,"COMM",427,"01-R","Digital Video Production II",20,0,20,0,0,0,"10:00AM","12:30PM","F","SN130A",,"01/10/2019","04/26/2019"
3324,"COMM",480,103,"Undergraduate TA",30,0,30,0,0,0,,,,,"Jason Matthew Schmitt","01/10/2019","04/26/2019"
3439,"COMM",229,1,"Principles of User Exp Design",7,21,-14,1,6,21,"9:30AM","10:45AM","TR","SN130A","Eric James York","01/10/2019","04/26/2019"
4023,"COMM",217,3,"Intro to Public Speaking",17,23,-6,3,22,31,"11:00AM","12:15PM","TR","SN129","Julie Margaret Davis","01/10/2019","04/26/2019"
4011,"COMM",313,1,"Professional Communication",18,19,-1,0,2,3,"1:00PM","2:15PM","TR","CB175","Linda Moerschell","01/10/2019","04/26/2019"
3438,"COMM",229,2,"Principles of User Exp Design",14,20,-6,2,5,13,"1:00PM","2:15PM","TR","SN130A","Eric James York","01/10/2019","04/26/2019"
2433,"COMM",217,1,"Intro to Public Speaking",12,23,-11,0,8,19,"11:00AM","11:50AM","MWF","SN175","Courtney A Johnson-Woods","01/10/2019","04/26/2019"
2743,"COMM",100,1,"2D Digital Design",14,16,-2,0,9,11,"9:00AM","10:50AM","MW","SN130A","Steven Mygind Pedersen","01/10/2019","04/26/2019"
2594,"COMM",217,2,"Intro to Public Speaking",14,20,-6,0,4,10,"1:00PM","1:50PM","MWF","SC344","Erika Ann Kissam","01/10/2019","04/26/2019"
4012,"COMM",395,1,"Special Topics",13,13,0,0,1,1,"11:00AM","12:15PM","TR","SN130A","Johndan Johnson-Eilola","01/10/2019","04/26/2019"
4099,"COMM",391,1,"Special Topics Course",15,6,9,0,1,0,"10:00AM","12:45PM","W","SN238","Daved Barry","01/10/2019","04/26/2019"
4010,"COMM",412,1,"Org Comm & PR Theory",18,19,-1,0,1,2,"9:30AM","10:45AM","TR","SN127","Courtney A Johnson-Woods","01/10/2019","04/26/2019"
4015,"COMM",329,1,"Front-End Development for Web",15,11,4,0,4,0,"11:00AM","12:15PM","MW","SN130A","Eric James York","01/10/2019","04/26/2019"
3989,"COMM",326,1,"Feature Film Screenwriting",15,14,1,0,5,4,"2:30PM","3:45PM","TR","SN118","Brian Russell Hauser","01/10/2019","04/26/2019"
3450,"COMM",345,1,"Information Design",12,5,7,0,2,0,"2:30PM","3:45PM","TR","SN130A","Johndan Johnson-Eilola","01/10/2019","04/26/2019"
4120,"CS",571,1,"System Admin & Network Ops",25,15,10,0,0,0,"10:00AM","10:50AM","MWF","SC334","Yaoqing Liu","01/10/2019","04/26/2019"
4142,"CS",569,"D1","Quantum Info & Computation",10,0,10,0,0,0,,,,"ONLINE","Christino Tamon","01/10/2019","04/26/2019"
2406,"CS",608,21,"Topics in Computer Science",99,0,99,0,0,0,,,,,"Christopher Lynch","01/10/2019","04/26/2019"
2412,"CS",608,15,"Topics in Computer Science",99,0,99,0,0,0,,,,,"Christino Tamon","01/10/2019","04/26/2019"
4094,"CS",561,"D1","Mixed Reality",10,0,10,0,0,0,,,,"ONLINE","Natasha Banerjee","01/10/2019","04/26/2019"
3691,"CS",561,1,"Mixed Reality",30,18,12,0,0,0,"9:30AM","10:45AM","TR","CB178","Natasha Banerjee","01/10/2019","04/26/2019"
4122,"CS",569,1,"Quantum Info & Computation",30,14,16,0,1,0,"8:00AM","9:15AM","TR","SC356","Christino Tamon","01/10/2019","04/26/2019"
3221,"CS",608,71,"Topics in Computer Science",99,0,99,0,0,0,,,,,"Natasha Banerjee","01/10/2019","04/26/2019"
2364,"CS",608,51,"Topics in Computer Science",99,0,99,0,0,0,,,,,"Jeanna N. Matthews","01/10/2019","04/26/2019"
2418,"CS",612,15,"Topics in Appl Comp Sci",99,0,99,0,0,0,,,,,"Christino Tamon","01/10/2019","04/26/2019"
4273,"CS",612,124,"Topics in Appl Comp Sci",99,1,98,0,0,0,,,,,"Faraz Hussain","01/10/2019","04/26/2019"
2414,"CS",608,35,"Topics in Computer Science",99,0,99,0,0,0,,,,,"Alexis Maciel","01/10/2019","04/26/2019"
2416,"CS",608,34,"Topics in Computer Science",99,0,99,0,0,0,,,,,"Yaoqing Liu","01/10/2019","04/26/2019"
3475,"CS",608,45,"Topics in Computer Science",99,0,99,0,0,0,,,,,"Sanjib Kumar Banerjee","01/10/2019","04/26/2019"
3953,"CS",557,10,"Computer and Network Security",23,8,15,0,0,0,"11:00AM","11:50AM","M","SC334","Jeanna N. Matthews","01/10/2019","04/26/2019"
3947,"CS",557,1,"Computer and Network Security",75,19,56,0,0,0,"4:00PM","4:50PM","MWF","SC334","Jeanna N. Matthews","01/10/2019","04/26/2019"
3955,"CS",557,30,"Computer and Network Security",0,0,0,0,0,0,"1:00PM","1:50PM","M","SC334","Jeanna N. Matthews","01/10/2019","04/26/2019"
3954,"CS",557,20,"Computer and Network Security",23,11,12,0,0,0,"12:00PM","12:50PM","M","SC334","Jeanna N. Matthews","01/10/2019","04/26/2019"
3983,"CS",552,1,"Computer Graphics",50,35,15,0,0,0,"1:00PM","2:15PM","TR","CB194","Natasha Banerjee","01/10/2019","04/26/2019"
4093,"CS",545,"D1","Compiler Construction I",10,2,8,0,1,0,,,,"ONLINE","Christino Tamon","01/10/2019","04/26/2019"
3984,"CS",552,"D1","Computer Graphics",10,0,10,0,0,0,,,,"ONLINE","Natasha Banerjee","01/10/2019","04/26/2019"
4282,"CS",559,"D1","Human-Computer Interaction",10,1,9,0,0,0,,,,"ONLINE","Sanjib Kumar Banerjee","01/10/2019","04/26/2019"
4281,"CS",559,1,"Human-Computer Interaction",20,15,5,0,0,0,"4:00PM","5:15PM","TR","SN118","Sanjib Kumar Banerjee","01/10/2019","04/26/2019"
2240,"CS",560,1,"Database Systems",50,43,7,0,0,0,"8:00AM","8:50AM","MW","CB194","Daqing Hou","01/10/2019","04/26/2019"
2240,"CS",560,1,"Database Systems",50,43,7,0,0,0,"8:00AM","8:50AM","F","CB172",,"01/10/2019","04/26/2019"
2601,"CS",558,1,"Formal Meth/Prog Verification",30,24,6,0,0,0,"11:00AM","12:15PM","TR","SC342","Christopher Lynch","01/10/2019","04/26/2019"
3982,"CS",557,"D1","Computer and Network Security",10,0,10,0,0,0,,,,"ONLINE","Jeanna N. Matthews","01/10/2019","04/26/2019"
3051,"CS",558,"D1","Formal Meth/Prog Verification",10,2,8,0,0,0,"11:00AM","12:15PM","TR","ONLINE","Christopher Lynch","01/10/2019","04/26/2019"
3981,"CS",653,"D1","Automated Reasoning",10,0,10,0,1,0,,,,"ONLINE","Christopher Lynch","01/10/2019","04/26/2019"
3980,"CS",653,1,"Automated Reasoning",30,6,24,0,4,0,"11:00AM","11:50AM","MWF","SC342","Christopher Lynch","01/10/2019","04/26/2019"
2372,"CS",708,15,"Seminar in Computer Science",99,0,99,0,0,0,,,,,"Christino Tamon","01/10/2019","04/26/2019"
4272,"CS",708,124,"Seminar in Computer Science",99,1,98,0,0,0,,,,,"Faraz Hussain","01/10/2019","04/26/2019"
3223,"CS",634,71,"Thesis",99,5,94,0,0,0,,,,,"Natasha Banerjee","01/10/2019","04/26/2019"
2349,"CS",634,51,"Thesis",99,2,97,0,0,0,,,,,"Jeanna N. Matthews","01/10/2019","04/26/2019"
4308,"CS",634,"D21","Thesis",99,2,97,0,0,0,,,,"ONLINE","Christopher Lynch","01/10/2019","04/26/2019"
3486,"CS",708,45,"Seminar in Computer Science",99,0,99,0,0,0,,,,,"Sanjib Kumar Banerjee","01/10/2019","04/26/2019"
3482,"CS",708,37,"Seminar in Computer Science",99,3,96,0,0,0,,,,,"Daqing Hou","01/10/2019","04/26/2019"
3485,"CS",708,71,"Seminar in Computer Science",99,2,97,0,0,0,,,,,"Natasha Banerjee","01/10/2019","04/26/2019"
4287,"CS",708,51,"Seminar in Computer Science",99,2,97,0,0,0,,,,,"Jeanna N. Matthews","01/10/2019","04/26/2019"
3483,"CS",708,34,"Seminar in Computer Science",99,0,99,0,0,0,,,,,"Yaoqing Liu","01/10/2019","04/26/2019"
3153,"CS",708,21,"Seminar in Computer Science",99,1,98,0,0,0,,,,,"Christopher Lynch","01/10/2019","04/26/2019"
3484,"CS",708,35,"Seminar in Computer Science",99,0,99,0,0,0,,,,,"Alexis Maciel","01/10/2019","04/26/2019"
2392,"CS",612,51,"Topics in Appl Comp Sci",99,0,99,0,0,0,,,,,"Jeanna N. Matthews","01/10/2019","04/26/2019"
3476,"CS",612,45,"Topics in Appl Comp Sci",99,0,99,0,0,0,,,,,"Sanjib Kumar Banerjee","01/10/2019","04/26/2019"
4271,"CS",634,124,"Thesis",99,1,98,0,0,0,,,,,"Faraz Hussain","01/10/2019","04/26/2019"
3222,"CS",612,71,"Topics in Appl Comp Sci",99,0,99,0,0,0,,,,,"Natasha Banerjee","01/10/2019","04/26/2019"
2424,"CS",612,34,"Topics in Appl Comp Sci",99,0,99,0,0,0,,,,,"Yaoqing Liu","01/10/2019","04/26/2019"
2420,"CS",612,21,"Topics in Appl Comp Sci",99,0,99,0,0,0,,,,,"Christopher Lynch","01/10/2019","04/26/2019"
2422,"CS",612,35,"Topics in Appl Comp Sci",99,0,99,0,0,0,,,,,"Alexis Maciel","01/10/2019","04/26/2019"
2347,"CS",634,37,"Thesis",99,1,98,0,0,0,,,,,"Daqing Hou","01/10/2019","04/26/2019"
2348,"CS",634,35,"Thesis",99,0,99,0,0,0,,,,,"Alexis Maciel","01/10/2019","04/26/2019"
3477,"CS",634,45,"Thesis",99,0,99,0,0,0,,,,,"Sanjib Kumar Banerjee","01/10/2019","04/26/2019"
2346,"CS",634,21,"Thesis",99,3,96,0,0,0,,,,,"Christopher Lynch","01/10/2019","04/26/2019"
2345,"CS",634,15,"Thesis",99,0,99,0,0,0,,,,,"Christino Tamon","01/10/2019","04/26/2019"
2366,"CS",634,34,"Thesis",99,3,96,0,0,0,,,,,"Yaoqing Liu","01/10/2019","04/26/2019"
3466,"CS",408,51,"D.S. in Computer Science",99,0,99,0,0,0,,,,,"Jeanna N. Matthews","01/10/2019","04/26/2019"
3461,"CS",408,45,"D.S. in Computer Science",99,4,95,0,0,0,,,,,"Sanjib Kumar Banerjee","01/10/2019","04/26/2019"
3468,"CS",412,15,"DS in Applied Comp Sci",99,1,98,0,0,0,,,,,"Christino Tamon","01/10/2019","04/26/2019"
3467,"CS",408,71,"D.S. in Computer Science",99,0,99,0,0,0,,,,,"Natasha Banerjee","01/10/2019","04/26/2019"
3464,"CS",408,34,"D.S. in Computer Science",99,2,97,0,0,0,,,,,"Yaoqing Liu","01/10/2019","04/26/2019"
3463,"CS",408,21,"D.S. in Computer Science",99,3,96,0,0,0,,,,,"Christopher Lynch","01/10/2019","04/26/2019"
3465,"CS",408,35,"D.S. in Computer Science",99,0,99,0,0,0,,,,,"Alexis Maciel","01/10/2019","04/26/2019"
3472,"CS",412,51,"DS in Applied Comp Sci",99,0,99,0,0,0,,,,,"Jeanna N. Matthews","01/10/2019","04/26/2019"
3474,"CS",412,45,"DS in Applied Comp Sci",99,0,99,0,0,0,,,,,"Sanjib Kumar Banerjee","01/10/2019","04/26/2019"
4261,"CS",442,35,"Computational Complexity",10,0,10,0,3,0,,,,,"Alexis Maciel","01/10/2019","04/26/2019"
3473,"CS",412,71,"DS in Applied Comp Sci",99,1,98,0,0,0,,,,,"Natasha Banerjee","01/10/2019","04/26/2019"
3470,"CS",412,34,"DS in Applied Comp Sci",99,0,99,0,0,0,,,,,"Yaoqing Liu","01/10/2019","04/26/2019"
3469,"CS",412,21,"DS in Applied Comp Sci",99,0,99,0,0,0,,,,,"Christopher Lynch","01/10/2019","04/26/2019"
3471,"CS",412,35,"DS in Applied Comp Sci",99,0,99,0,0,0,,,,,"Alexis Maciel","01/10/2019","04/26/2019"
3457,"CS",141,20,"Intro to Comp Sci I",24,22,2,0,0,0,"11:00AM","11:50AM","F","SC334",,"01/10/2019","04/26/2019"
2274,"CS",141,10,"Intro to Comp Sci I",24,21,3,0,0,0,"9:00AM","9:50AM","F","SC334",,"01/10/2019","04/26/2019"
3458,"CS",141,40,"Intro to Comp Sci I",24,24,0,0,0,0,"2:00PM","2:50PM","F","SC334",,"01/10/2019","04/26/2019"
3218,"CS",141,30,"Intro to Comp Sci I",24,23,1,0,0,0,"12:00PM","12:50PM","F","SC334",,"01/10/2019","04/26/2019"
2820,"CS",110,2,"Intro to Bus Int and Data Anal",35,13,22,0,2,0,"2:30PM","3:45PM","TR","SN241","William C. MacKinnon","01/10/2019","04/26/2019"
2807,"CS",110,1,"Intro to Bus Int and Data Anal",25,26,-1,0,2,3,"1:00PM","2:15PM","TR","SN239","William C. MacKinnon","01/10/2019","04/26/2019"
2233,"CS",141,1,"Intro to Comp Sci I",150,103,47,0,8,0,"11:00AM","12:15PM","TR","SC360","Sanjib Kumar Banerjee","01/10/2019","04/26/2019"
4315,"CS",345,35,"Automata Theory & Formal Lang",30,1,29,0,1,0,,,,,"Alexis Maciel","01/10/2019","04/26/2019"
2215,"CS",344,1,"Algorithms and Data Structures",80,65,15,0,3,0,"9:30AM","10:45AM","TR","SC362","Alexis Maciel","01/10/2019","04/26/2019"
3462,"CS",408,15,"D.S. in Computer Science",99,2,97,0,0,0,,,,,"Christino Tamon","01/10/2019","04/26/2019"
4319,"CS",350,45,"Software Design & Development",30,2,28,0,0,0,,,,,"Sanjib Kumar Banerjee","01/10/2019","04/26/2019"
2234,"CS",142,1,"Intro to Comp Sci II",70,41,29,0,1,0,"2:30PM","3:45PM","TR","SC160","Alexis Maciel","01/10/2019","04/26/2019"
3459,"CS",141,50,"Intro to Comp Sci I",24,13,11,0,0,0,"3:00PM","3:50PM","F","SC334",,"01/10/2019","04/26/2019"
2235,"CS",241,1,"Computer Organization",60,30,30,0,3,0,"2:30PM","3:45PM","TR","SC362","Yaoqing Liu","01/10/2019","04/26/2019"
4119,"CS",471,1,"System Admin & Network Ops",25,15,10,0,0,0,"10:00AM","10:50AM","MWF","SC334","Yaoqing Liu","01/10/2019","04/26/2019"
4121,"CS",469,1,"Quantum Info & Computation",30,14,16,0,4,0,"8:00AM","9:15AM","TR","SC356","Christino Tamon","01/10/2019","04/26/2019"
4258,"CS",497,71,"Undergraduate Research I",99,1,98,0,0,0,,,,,"Natasha Banerjee","01/10/2019","04/26/2019"
3821,"CS",497,45,"Undergraduate Research I",99,4,95,0,1,0,,,,,"Sanjib Kumar Banerjee","01/10/2019","04/26/2019"
2238,"CS",460,1,"Database Systems",50,43,7,0,0,0,"8:00AM","8:50AM","MW","CB194","Daqing Hou","01/10/2019","04/26/2019"
2238,"CS",460,1,"Database Systems",50,43,7,0,0,0,"8:00AM","8:50AM","F","CB172",,"01/10/2019","04/26/2019"
3690,"CS",461,1,"Mixed Reality",30,18,12,0,1,0,"9:30AM","10:45AM","TR","CB178","Natasha Banerjee","01/10/2019","04/26/2019"
2533,"CS",544,20,"Operating Systems",25,25,0,0,0,0,"12:00PM","12:50PM","W","SC334","Jeanna N. Matthews","01/10/2019","04/26/2019"
2532,"CS",544,10,"Operating Systems",25,26,-1,0,0,1,"1:00PM","1:50PM","W","SC334","Jeanna N. Matthews","01/10/2019","04/26/2019"
3945,"CS",545,1,"Compiler Construction I",25,18,7,0,0,0,"2:30PM","3:45PM","TR","SC334","Christino Tamon","01/10/2019","04/26/2019"
3154,"CS",544,"D1","Operating Systems",10,2,8,0,0,0,"2:00PM","2:50PM","MF","ONLINE","Jeanna N. Matthews","01/10/2019","04/26/2019"
3129,"CS",499,35,"Professional Experience",99,7,92,0,0,0,,,,,"Alexis Maciel","01/10/2019","04/26/2019"
4274,"CS",498,124,"Undergraduate Research II",99,2,97,0,0,0,,,,,"Faraz Hussain","01/10/2019","04/26/2019"
2239,"CS",544,1,"Operating Systems",50,51,-1,0,0,1,"2:00PM","2:50PM","MWF","CB194","Jeanna N. Matthews","01/10/2019","04/26/2019"
3944,"CS",445,1,"Compiler Construction",25,18,7,0,2,0,"2:30PM","3:45PM","TR","SC334","Christino Tamon","01/10/2019","04/26/2019"
4326,"CS",444,"D1","Operating Systems",5,0,5,0,0,0,,,,"ONLINE","Jeanna N. Matthews","01/10/2019","04/26/2019"
3946,"CS",457,1,"Computer and Network Security",75,19,56,0,1,0,"4:00PM","4:50PM","MWF","SC334","Jeanna N. Matthews","01/10/2019","04/26/2019"
3962,"CS",452,1,"Computer Graphics",50,35,15,0,3,0,"1:00PM","2:15PM","TR","CB194","Natasha Banerjee","01/10/2019","04/26/2019"
2530,"CS",444,10,"Operating Systems",25,26,-1,0,0,1,"1:00PM","1:50PM","W","SC334","Jeanna N. Matthews","01/10/2019","04/26/2019"
2236,"CS",444,1,"Operating Systems",50,51,-1,0,5,6,"2:00PM","2:50PM","MWF","CB194","Jeanna N. Matthews","01/10/2019","04/26/2019"
2531,"CS",444,20,"Operating Systems",25,25,0,0,0,0,"12:00PM","12:50PM","W","SC334","Jeanna N. Matthews","01/10/2019","04/26/2019"
4260,"CS",458,"D1","Formal Meth/Prog Verification",30,1,29,0,1,0,,,,"ONLINE","Christopher Lynch","01/10/2019","04/26/2019"
2237,"CS",458,1,"Formal Meth/Prog Verification",30,24,6,0,3,0,"11:00AM","12:15PM","TR","SC342","Christopher Lynch","01/10/2019","04/26/2019"
4280,"CS",459,1,"Human-Computer Interaction",20,15,5,0,2,0,"4:00PM","5:15PM","TR","SN118","Sanjib Kumar Banerjee","01/10/2019","04/26/2019"
3951,"CS",457,20,"Computer and Network Security",23,11,12,0,0,0,"12:00PM","12:50PM","M","SC334","Jeanna N. Matthews","01/10/2019","04/26/2019"
3950,"CS",457,10,"Computer and Network Security",23,8,15,0,0,0,"11:00AM","11:50AM","M","SC334","Jeanna N. Matthews","01/10/2019","04/26/2019"
3952,"CS",457,30,"Computer and Network Security",0,0,0,0,0,0,"1:00PM","1:50PM","M","SC334","Jeanna N. Matthews","01/10/2019","04/26/2019"
3058,"DA",480,26,"Internship in Digital Arts",0,0,0,0,0,0,,,,,"Johndan Johnson-Eilola","01/10/2019","04/26/2019"
2652,"DA",490,50,"Undergraduate TA in DA&S",0,0,0,0,0,0,,,,,"Steven Mygind Pedersen","01/10/2019","04/26/2019"
4026,"DA",420,81,"Digital Arts Ind Study",30,0,30,0,0,0,,,,,"Alex M Lee","01/10/2019","04/26/2019"
2685,"DA",492,1,"Senior Studies",5,5,0,0,0,0,"5:30PM","7:30PM","MW","SN130A","Alex M Lee","01/10/2019","04/26/2019"
2888,"DA",490,81,"Undergraduate TA in DA&S",0,1,-1,0,0,1,,,,,"Alex M Lee","01/10/2019","04/26/2019"
3029,"DA",140,1,"Intro to DA: Form & Code",11,8,3,0,4,1,"1:00PM","2:50PM","MW","SN130A","Steven Mygind Pedersen","01/10/2019","04/26/2019"
4024,"DA",225,1,"Dig Painting & Illustration",10,7,3,0,2,0,"3:00PM","4:50PM","MW","SN130A","Steven Mygind Pedersen","01/10/2019","04/26/2019"
2430,"DA",100,1,"Intro to DA: Time & Image",14,16,-2,0,4,6,"9:00AM","10:50AM","MW","SN130A","Steven Mygind Pedersen","01/10/2019","04/26/2019"
4025,"DA",420,50,"Digital Arts Ind Study",30,1,29,0,0,0,,,,,"Steven Mygind Pedersen","01/10/2019","04/26/2019"
2535,"DA",300,1,"3D Imagery & Animation",6,3,3,0,2,0,"4:00PM","5:50PM","TR","SN130A","Alex M Lee","01/10/2019","04/26/2019"
4115,"DS",392,1,"Ethics in Data Sci & Appl Math",30,4,26,0,0,0,"1:00PM","2:15PM","TR","PR2001","Joseph D Skufca","01/10/2019","04/26/2019"
2684,"EAP",552,1,"Academic Writing II",20,9,11,0,2,0,"1:00PM","2:15PM","TR","SN118","Judith Simon","01/10/2019","04/26/2019"
